[0/100][0/93]	Loss_D: 2.1863	Loss_G: 39.7171	D(x): 0.6990	D(G(z)): 0.7683 / 0.0000
[0/100][50/93]	Loss_D: 0.8648	Loss_G: 2.8796	D(x): 0.6223	D(G(z)): 0.0194 / 0.1140
[1/100][0/93]	Loss_D: 0.8596	Loss_G: 10.5712	D(x): 0.8930	D(G(z)): 0.4547 / 0.0005
[1/100][50/93]	Loss_D: 0.6635	Loss_G: 2.7537	D(x): 0.7433	D(G(z)): 0.2473 / 0.0855
[2/100][0/93]	Loss_D: 1.4609	Loss_G: 4.4699	D(x): 0.9592	D(G(z)): 0.6760 / 0.0264
[2/100][50/93]	Loss_D: 0.4622	Loss_G: 2.2699	D(x): 0.7680	D(G(z)): 0.1365 / 0.1320
[3/100][0/93]	Loss_D: 2.0911	Loss_G: 0.4290	D(x): 0.2374	D(G(z)): 0.0257 / 0.7454
[3/100][50/93]	Loss_D: 0.7839	Loss_G: 1.7788	D(x): 0.6104	D(G(z)): 0.1213 / 0.2199
[4/100][0/93]	Loss_D: 0.6490	Loss_G: 5.9154	D(x): 0.8963	D(G(z)): 0.3399 / 0.0073
[4/100][50/93]	Loss_D: 0.6892	Loss_G: 4.4932	D(x): 0.8138	D(G(z)): 0.3176 / 0.0237
[5/100][0/93]	Loss_D: 0.3905	Loss_G: 3.6344	D(x): 0.8478	D(G(z)): 0.1834 / 0.0454
[5/100][50/93]	Loss_D: 0.3823	Loss_G: 4.0663	D(x): 0.8372	D(G(z)): 0.1613 / 0.0285
[6/100][0/93]	Loss_D: 0.4621	Loss_G: 3.8393	D(x): 0.8156	D(G(z)): 0.1914 / 0.0330
[6/100][50/93]	Loss_D: 1.1575	Loss_G: 8.1341	D(x): 0.9664	D(G(z)): 0.6105 / 0.0006
[7/100][0/93]	Loss_D: 0.4385	Loss_G: 5.7071	D(x): 0.8919	D(G(z)): 0.2078 / 0.0107
[7/100][50/93]	Loss_D: 1.5328	Loss_G: 5.1530	D(x): 0.9931	D(G(z)): 0.7219 / 0.0111
[8/100][0/93]	Loss_D: 1.5446	Loss_G: 11.0142	D(x): 0.9693	D(G(z)): 0.6879 / 0.0001
